DATE,vwretd,vwretx
20111125,-0.003631,-0.003743
20111128,0.030533,0.030394
20111129,0.002267,0.001995
20111130,0.043908,0.043786
20111201,-0.002279,-0.002337
20111202,0.000094,0.000062
20111205,0.010293,0.010258
20111206,0.000391,0.000370
20111207,0.001910,0.001647
20111208,-0.022871,-0.022960
20111209,0.017740,0.017730
20111212,-0.015548,-0.015590
20111213,-0.011237,-0.011503
20111214,-0.012740,-0.012840
20111215,0.003747,0.003639
20111216,0.004960,0.004857
20111219,-0.012654,-0.012677
20111220,0.030043,0.029831
20111221,0.002026,0.001873
20111222,0.008910,0.008685
20111223,0.007866,0.007794
20111227,0.000021,-0.000045
20111228,-0.013646,-0.013933
20111229,0.010779,0.010714
20111230,-0.002583,-0.002617
20120103,0.016162,0.016098
20120104,-0.000445,-0.000587
20120105,0.002930,0.002926
20120106,-0.002906,-0.003155
20120109,0.002817,0.002797
20120110,0.010421,0.010412
20120111,0.000949,0.000848
20120112,0.003046,0.003016
20120113,-0.005321,-0.005325
20120117,0.003904,0.003897
20120118,0.012307,0.012193
20120119,0.005580,0.005555
20120120,0.000884,0.000862
20120123,0.001606,0.001594
20120124,-0.000805,-0.000866
20120125,0.009960,0.009943
20120126,-0.004911,-0.004946
20120127,0.000689,0.000567
20120130,-0.003723,-0.003787
20120131,-0.000072,-0.000079
20120201,0.011180,0.010987
20120202,0.001838,0.001769
20120203,0.014673,0.014527
20120206,-0.000971,-0.000989
20120207,0.001397,0.001377
20120208,0.002191,0.001947
20120209,0.001004,0.000977
20120210,-0.008389,-0.008410
20120213,0.007444,0.007232
20120214,-0.001547,-0.001720
20120215,-0.004226,-0.004495
20120216,0.012469,0.012347
20120217,0.001391,0.001318
20120221,0.000155,0.000134
20120222,-0.003131,-0.003184
20120223,0.005703,0.005576
20120224,0.001495,0.001409
20120227,0.000817,0.000734
20120228,0.002909,0.002770
20120229,-0.005677,-0.005793
20120301,0.006810,0.006713
20120302,-0.004929,-0.004977
20120305,-0.004550,-0.004616
20120306,-0.017387,-0.017416
20120307,0.007946,0.007707
20120308,0.010867,0.010714
20120309,0.004498,0.004497
20120312,-0.001368,-0.001424
20120313,0.017613,0.017265
20120314,-0.003914,-0.003956
20120315,0.006515,0.006472
20120316,0.001331,0.001247
20120319,0.004004,0.003987
20120320,-0.004515,-0.004530
20120321,-0.001124,-0.001168
20120322,-0.008104,-0.008160
20120323,0.004474,0.004458
20120326,0.013965,0.013901
20120327,-0.003661,-0.003748
20120328,-0.005516,-0.005790
20120329,-0.001895,-0.001927
20120330,0.003353,0.003293
20120402,0.008060,0.007950
20120403,-0.004445,-0.004612
20120404,-0.011817,-0.011841
20120405,-0.000804,-0.001056
20120409,-0.011373,-0.011397
20120410,-0.018021,-0.018037
20120411,0.008514,0.008380
20120412,0.015087,0.015051
20120413,-0.012396,-0.012410
20120416,-0.000582,-0.000592
20120417,0.014959,0.014954
20120418,-0.004031,-0.004043
20120419,-0.004662,-0.004712
20120420,0.001632,0.001614
20120423,-0.009538,-0.009595
20120424,0.003250,0.003245
20120425,0.013830,0.013734
20120426,0.006808,0.006690
20120427,0.003895,0.003835
20120430,-0.004308,-0.004333
20120501,0.004877,0.004846
20120502,-0.002037,-0.002171
20120503,-0.009949,-0.010093
20120504,-0.015676,-0.015740
20120507,0.000557,0.000517
20120508,-0.005354,-0.005466
20120509,-0.006020,-0.006304
20120510,0.002875,0.002671
20120511,-0.002780,-0.002944
20120514,-0.012169,-0.012252
20120515,-0.006033,-0.006171
20120516,-0.004932,-0.005164
20120517,-0.015855,-0.015954
20120518,-0.008144,-0.008156
20120521,0.017760,0.017734
20120522,-0.000468,-0.000535
20120523,0.002795,0.002734
20120524,0.001005,0.000894
20120525,-0.001540,-0.001556
20120529,0.011229,0.011093
20120530,-0.015495,-0.015740
20120531,-0.001966,-0.002053
20120601,-0.024528,-0.024646
20120604,-0.001001,-0.001030
20120605,0.007853,0.007822
20120606,0.022704,0.022497
20120607,-0.001375,-0.001442
20120608,0.007132,0.007113
20120611,-0.013963,-0.014003
20120612,0.011674,0.011651
20120613,-0.006941,-0.007345
20120614,0.009505,0.009477
20120615,0.010115,0.010036
20120618,0.002204,0.002176
20120619,0.011625,0.011556
20120620,-0.001470,-0.001538
20120621,-0.023467,-0.023680
20120622,0.007254,0.007245
20120625,-0.015439,-0.015550
20120626,0.004864,0.004822
20120627,0.009029,0.008735
20120628,-0.002127,-0.002174
20120629,0.025627,0.025468
20120702,0.003874,0.003740
20120703,0.008948,0.008788
20120705,-0.004128,-0.004139
20120706,-0.009962,-0.010198
20120709,-0.002194,-0.002207
20120710,-0.008816,-0.008827
20120711,-0.000300,-0.000417
20120712,-0.004886,-0.004918
20120713,0.015267,0.015246
20120716,-0.002466,-0.002467
20120717,0.006718,0.006714
20120718,0.006249,0.006144
20120719,0.002821,0.002745
20120720,-0.009917,-0.009942
20120723,-0.010146,-0.010167
20120724,-0.009420,-0.009468
20120725,0.000713,0.000690
20120726,0.015512,0.015489
